,Year,Make,Model,Price,Mileage,URL
26,2007,Honda,civic,7600,140000,https://www.facebook.com/marketplace/item/410471038061550/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-2512171171982372100%22%2C%22mf_story_key%22%3A%227274506615975935%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A7274506615975935%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A27%2C%5C%22ranking_signature%5C%22%3A1634236653455485191%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.0029495519311937%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%227274506615975935%5C%22%3A111%7D%7D%22%2C%22ftmd_400706%22%3A%22111112l%22%7D&__tn__=!%3AD
27,2010,Honda,civic,6500,217000,https://www.facebook.com/marketplace/item/382624987741653/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-2512171171982372100%22%2C%22mf_story_key%22%3A%227821958354485034%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A7821958354485034%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A28%2C%5C%22ranking_signature%5C%22%3A1634236653455485191%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.0018677825381856%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%227821958354485034%5C%22%3A111%7D%7D%22%2C%22ftmd_400706%22%3A%22111112l%22%7D&__tn__=!%3AD
28,2009,Honda,civic,4999,235000,https://www.facebook.com/marketplace/item/398127572797718/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-2512171171982372100%22%2C%22mf_story_key%22%3A%2225111024435162766%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A25111024435162766%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A29%2C%5C%22ranking_signature%5C%22%3A1634236653455485191%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.0038332854396578%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%2225111024435162766%5C%22%3A111%7D%7D%22%2C%22ftmd_400706%22%3A%22111112l%22%7D&__tn__=!%3AD
29,2008,Honda,civic,5999,264000,https://www.facebook.com/marketplace/item/1096540884825787/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-2512171171982372100%22%2C%22mf_story_key%22%3A%227892294897466400%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A7892294897466400%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A30%2C%5C%22ranking_signature%5C%22%3A1634236653455485191%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.0018965194772676%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%227892294897466400%5C%22%3A111%7D%7D%22%2C%22ftmd_400706%22%3A%22111112l%22%7D&__tn__=!%3AD
30,2010,Honda,civic,5700,235000,https://www.facebook.com/marketplace/item/943530983808810/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-2512171171982372100%22%2C%22mf_story_key%22%3A%2224761234386855913%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A24761234386855913%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A31%2C%5C%22ranking_signature%5C%22%3A1634236653455485191%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.0019739758099727%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%2224761234386855913%5C%22%3A111%7D%7D%22%2C%22ftmd_400706%22%3A%22111112l%22%7D&__tn__=!%3AD
31,2008,Honda,civic,4200,270000,https://www.facebook.com/marketplace/item/253521291124477/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-2512171171982372100%22%2C%22mf_story_key%22%3A%2224652934124350042%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A24652934124350042%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A32%2C%5C%22ranking_signature%5C%22%3A1634236653455485191%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.0031983933108628%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%2224652934124350042%5C%22%3A111%7D%7D%22%2C%22ftmd_400706%22%3A%22111112l%22%7D&__tn__=!%3AD
32,2007,Honda,civic,4500,225000,https://www.facebook.com/marketplace/item/1541516816625904/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-2512171171982372100%22%2C%22mf_story_key%22%3A%227125473097573261%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A7125473097573261%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A33%2C%5C%22ranking_signature%5C%22%3A1634236653455485191%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.002180304196693%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%227125473097573261%5C%22%3A111%7D%7D%22%2C%22ftmd_400706%22%3A%22111112l%22%7D&__tn__=!%3AD
33,2006,Honda,civic,5000,225000,https://www.facebook.com/marketplace/item/380588538019839/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-2512171171982372100%22%2C%22mf_story_key%22%3A%227311537538913815%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A7311537538913815%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A34%2C%5C%22ranking_signature%5C%22%3A1634236653455485191%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.0023503322668354%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%227311537538913815%5C%22%3A111%7D%7D%22%2C%22ftmd_400706%22%3A%22111112l%22%7D&__tn__=!%3AD
34,2008,Honda,civic,7995,120000,https://www.facebook.com/marketplace/item/301047536289667/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-2512171172137780531%22%2C%22mf_story_key%22%3A%227194257990665346%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A7194257990665346%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A35%2C%5C%22ranking_signature%5C%22%3A1634236653455485191%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.0027831110026498%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%227194257990665346%5C%22%3A111%7D%7D%22%2C%22ftmd_400706%22%3A%22111112l%22%7D&__tn__=!%3AD
35,2009,Honda,civic,7200,182000,https://www.facebook.com/marketplace/item/3472863479692216/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-2512171172137780531%22%2C%22mf_story_key%22%3A%227311876625525382%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A7311876625525382%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A36%2C%5C%22ranking_signature%5C%22%3A1634236653455485191%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.0018837719936839%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%227311876625525382%5C%22%3A111%7D%7D%22%2C%22ftmd_400706%22%3A%22111112l%22%7D&__tn__=!%3AD
