,Unnamed: 0,Year,Make,Model,Price,Mileage,URL,Retail,Upper,Lower,Return,ROI
5,5,2007,Honda,civic,5500,203000,https://www.facebook.com/marketplace/item/759965735709157/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-2512171515749909296%22%2C%22mf_story_key%22%3A%226367801663323547%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A6367801663323547%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A5%2C%5C%22ranking_signature%5C%22%3A1634236653455485191%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.0021198122304594%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%226367801663323547%5C%22%3A111%7D%7D%22%2C%22ftmd_400706%22%3A%22111112l%22%7D&__tn__=!%3AD,6077.77,7138.76,5016.78,577.77,1.11
31,33,2006,Honda,civic,5000,225000,https://www.facebook.com/marketplace/item/380588538019839/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-2512171171982372100%22%2C%22mf_story_key%22%3A%227311537538913815%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A7311537538913815%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A34%2C%5C%22ranking_signature%5C%22%3A1634236653455485191%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.0023503322668354%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%227311537538913815%5C%22%3A111%7D%7D%22%2C%22ftmd_400706%22%3A%22111112l%22%7D&__tn__=!%3AD,5568.04,6629.03,4507.05,568.04,1.11
17,18,2008,Honda,civic,4950,228000,https://www.facebook.com/marketplace/item/1362820261031835/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-2512171515749909296%22%2C%22mf_story_key%22%3A%227058366787550710%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A7058366787550710%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A19%2C%5C%22ranking_signature%5C%22%3A1634236653455485191%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.0033150685970668%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%227058366787550710%5C%22%3A111%7D%7D%22%2C%22ftmd_400706%22%3A%22111112l%22%7D&__tn__=!%3AD,5500.2,6561.19,4439.21,550.2,1.11
67,71,2007,Honda,civic,7488,127000,https://www.facebook.com/marketplace/item/845082454065617/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-2512170759729555299%22%2C%22mf_story_key%22%3A%226923011271117817%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A6923011271117817%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A72%2C%5C%22ranking_signature%5C%22%3A1634236653455485191%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.0026801593805296%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%226923011271117817%5C%22%3A111%7D%7D%22%2C%22ftmd_400706%22%3A%22111112l%22%7D&__tn__=!%3AD,8032.19,9093.18,6971.2,544.19,1.07
35,37,2006,Honda,civic,4690,241000,https://www.facebook.com/marketplace/item/3452622595047957/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-2512171172137780531%22%2C%22mf_story_key%22%3A%227516028201824770%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A7516028201824770%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A38%2C%5C%22ranking_signature%5C%22%3A1634236653455485191%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.0017313182682256%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%227516028201824770%5C%22%3A111%7D%7D%22%2C%22ftmd_400706%22%3A%22111112l%22%7D&__tn__=!%3AD,5210.59,6271.58,4149.6,520.59,1.11
29,31,2008,Honda,civic,4200,270000,https://www.facebook.com/marketplace/item/253521291124477/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-2512171171982372100%22%2C%22mf_story_key%22%3A%2224652934124350042%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A24652934124350042%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A32%2C%5C%22ranking_signature%5C%22%3A1634236653455485191%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.0031983933108628%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%2224652934124350042%5C%22%3A111%7D%7D%22%2C%22ftmd_400706%22%3A%22111112l%22%7D&__tn__=!%3AD,4588.02,5649.01,3527.03,388.02,1.09
49,52,2010,Honda,civic,5000,234000,https://www.facebook.com/marketplace/item/659040286425491/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-2512171103327525019%22%2C%22mf_story_key%22%3A%227547300155281495%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A7547300155281495%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A53%2C%5C%22ranking_signature%5C%22%3A1634236653455485191%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.0019264157037974%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%227547300155281495%5C%22%3A111%7D%7D%22%2C%22ftmd_400706%22%3A%22111112l%22%7D&__tn__=!%3AD,5365.67,6426.66,4304.68,365.67,1.07
26,28,2009,Honda,civic,4999,235000,https://www.facebook.com/marketplace/item/398127572797718/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-2512171171982372100%22%2C%22mf_story_key%22%3A%2225111024435162766%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A25111024435162766%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A29%2C%5C%22ranking_signature%5C%22%3A1634236653455485191%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.0038332854396578%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%2225111024435162766%5C%22%3A111%7D%7D%22%2C%22ftmd_400706%22%3A%22111112l%22%7D&__tn__=!%3AD,5343.39,6404.38,4282.4,344.39,1.07
1,1,2006,Honda,civic,5500,215000,https://www.facebook.com/marketplace/item/1844463159357016/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-2512171515749909296%22%2C%22mf_story_key%22%3A%227340577029296581%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A7340577029296581%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A1%2C%5C%22ranking_signature%5C%22%3A1634236653455485191%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.0030489384874985%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%227340577029296581%5C%22%3A111%7D%7D%22%2C%22ftmd_400706%22%3A%22111112l%22%7D&__tn__=!%3AD,5797.0,6857.99,4736.01,297.0,1.05
15,16,2009,Honda,civic,4950,240000,https://www.facebook.com/marketplace/item/806464218166008/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-2512171515749909296%22%2C%22mf_story_key%22%3A%227840729605991686%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A7840729605991686%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A17%2C%5C%22ranking_signature%5C%22%3A1634236653455485191%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0.002443545513005%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%227840729605991686%5C%22%3A111%7D%7D%22%2C%22ftmd_400706%22%3A%22111112l%22%7D&__tn__=!%3AD,5232.62,6293.61,4171.63,282.62,1.06
